0	0
0.0613874999512414	0.01
0.122774999902483	0.02
0.17285495386436	0.03
0.218309846019357	0.04
0.263764738174354	0.05
0.309219630329351	0.06
0.35273300090285	0.07
0.388135024867532	0.08
0.407318075632351	0.09
0.421910920715903	0.1
0.436487532033221	0.11
0.451064143350539	0.12
0.465640754667857	0.13
0.480217365985175	0.14
0.494793977302493	0.15
0.509370588619811	0.16
0.523723534713463	0.17
0.537693429514974	0.18
0.551152163231297	0.19
0.562745646373279	0.2
0.572484461625946	0.21
0.580991700786183	0.22
0.589330086690832	0.23
0.597689774045354	0.24
0.606125109657342	0.25
0.614874551076943	0.26
0.624449466582686	0.27
0.634558405887758	0.28
0.644745362413705	0.29
0.654932318939652	0.3
0.665119275465599	0.31
0.675293154160287	0.32
0.685365694238484	0.33
0.695323577544881	0.34
0.705259641528312	0.35
0.715423853242696	0.36
0.725669578475514	0.37
0.73577644124232	0.38
0.745761287929968	0.39
0.755126800064081	0.4
0.763553522523639	0.41
0.77148651311331	0.42
0.779293029616844	0.43
0.787087323049331	0.44
0.794808872232603	0.45
0.802530421415875	0.46
0.810251970599147	0.47
0.817973519782419	0.48
0.825695068965692	0.49
0.833416618148964	0.5
0.841138167332236	0.51
0.848859716515508	0.52
0.85658126569878	0.53
0.864549728462299	0.54
0.872918827626455	0.55
0.88175233645502	0.56
0.890679351777091	0.57
0.899636406624855	0.58
0.907657820690092	0.59
0.914850124621837	0.6
0.920084382717591	0.61
0.924237478721948	0.62
0.928059673072715	0.63
0.931443042311224	0.64
0.934331681489877	0.65
0.937205313453523	0.66
0.940078945417169	0.67
0.942952577380815	0.68
0.94582620934446	0.69
0.948699841308106	0.7
0.951573473271752	0.71
0.954447105235398	0.72
0.957560497438804	0.73
0.961313250281571	0.74
0.965565503623838	0.75
0.969288243189838	0.76
0.971754569999222	0.77
0.973055975600666	0.78
0.974218520148047	0.79
0.975671030904415	0.8
0.976627129021654	0.81
0.977191824786706	0.82
0.977756520551759	0.83
0.978321216316811	0.84
0.978885912081863	0.85
0.979450607846916	0.86
0.980015303611968	0.87
0.98057999937702	0.88
0.981144695142072	0.89
0.981709390907125	0.9
0.982274086672177	0.91
0.982838782437229	0.92
0.983403478202281	0.93
0.983968173967334	0.94
0.984532869732386	0.95
0.985097565497438	0.96
0.98566226126249	0.97
0.998870608469896	0.98
0.999435304234948	0.99
1	1
