cancer	patient	drug	response
lung	LU.139	Cisplatin	4.560302
lung	SBC.5	Cisplatin	4.249885
lung	SBC.1	Cisplatin	6.545797
lung	LU.135	Cisplatin	2.501227
lung	NCI.H2030	Cisplatin	2.473521
lung	NCI.H2122	Cisplatin	2.724928
lung	NCI.H1734	Cisplatin	1.943859
lung	NCI.H650	Cisplatin	3.398646
urogenital_system	T.24	Cisplatin	1.715879
nervous_system	SK.N.AS	Cisplatin	2.263792
lung	NCI.H1299	Cisplatin	3.287805
lung	NCI.H2087	Cisplatin	2.677199
urogenital_system	UM.UC.3	Cisplatin	1.950995
urogenital_system	SW756	Cisplatin	2.22599
lung	NCI.H727	Cisplatin	6.538156
lung	Calu.6	Cisplatin	4.328051
lung	LU.65	Cisplatin	5.809373
lung	NCI.H1355	Cisplatin	1.891683
lung	NCI.H1792	Cisplatin	2.702949
pancreas	HPAF.II	Cisplatin	4.739686
pancreas	MIA.PaCa.2	Cisplatin	0.388891
lung	SHP.77	Cisplatin	6.399663
lung	NCI.H2009	Cisplatin	4.315739
lung	NCI.H2291	Cisplatin	6.127042
lung	SW1573	Cisplatin	3.768804
lung	SW900	Cisplatin	3.365004
aero_digestive_tract	TE.5	Cisplatin	5.352655
breast	HCC1954	Cisplatin	5.365859
breast	HCC1143	Cisplatin	3.912727
breast	HCC1187	Cisplatin	4.763958
breast	HCC1395	Cisplatin	2.539183
breast	HCC1937	Cisplatin	5.342108
breast	HCC2157	Cisplatin	3.688538
breast	HCC2218	Cisplatin	6.234633
breast	HCC38	Cisplatin	4.905658
aero_digestive_tract	BB30.HNC	Cisplatin	1.716993
aero_digestive_tract	BB49.HNC	Cisplatin	3.875242
kidney	BB65.RCC	Cisplatin	1.038374
lung	BEN	Cisplatin	2.321268
aero_digestive_tract	BHY	Cisplatin	3.897088
urogenital_system	BOKU	Cisplatin	2.098431
aero_digestive_tract	Ca9.22	Cisplatin	2.341027
lung	CAL.12T	Cisplatin	6.43748
aero_digestive_tract	CAL.33	Cisplatin	1.987891
skin	CP50.MEL.B	Cisplatin	4.737111
skin	CP66.MEL	Cisplatin	4.990335
lung	CPC.N	Cisplatin	3.543486
blood	CTV.1	Cisplatin	1.616408
nervous_system	D.542MG	Cisplatin	3.366132
lung	DMS.79	Cisplatin	2.647392
urogenital_system	DSH1	Cisplatin	4.973727
aero_digestive_tract	EC.GI.10	Cisplatin	2.581289
lung	EPLC.272H	Cisplatin	2.568121
aero_digestive_tract	HCE.4	Cisplatin	2.235912
aero_digestive_tract	HSC.2	Cisplatin	4.857346
blood	IM.9	Cisplatin	3.428321
lung	IST.SL1	Cisplatin	4.257404
