cancer	patient	drug	response
urogenital_system	EFO.21	Cisplatin	5.672185
digestive_system	LS.1034	Cisplatin	5.360632
urogenital_system	22RV1	Cisplatin	3.230471
thyroid	8505C	Cisplatin	2.590215
thyroid	BCPAP	Cisplatin	5.43045
urogenital_system	BPH.1	Cisplatin	2.779461
urogenital_system	CAL.39	Cisplatin	5.659098
digestive_system	CaR.1	Cisplatin	6.62663
urogenital_system	EFE.184	Cisplatin	3.107591
blood	HDLM.2	Cisplatin	4.369061
aero_digestive_tract	HO.1.N.1	Cisplatin	3.674127
thyroid	HTC.C3	Cisplatin	1.501072
urogenital_system	KGN	Cisplatin	2.866744
urogenital_system	KLE	Cisplatin	4.918785
nervous_system	KNS.81.FD	Cisplatin	6.283194
thyroid	K5	Cisplatin	1.315621
blood	L.363	Cisplatin	3.032926
breast	MDA.MB.415	Cisplatin	3.879562
lung	NCI.H1975	Cisplatin	3.746736
urogenital_system	SW954	Cisplatin	2.407143
digestive_system	MKN7	Cisplatin	2.998088
breast	MDA.MB.157	Cisplatin	4.836457
skin	MMAC.SF	Cisplatin	6.27523
digestive_system	MKN45	Cisplatin	2.298245
lung	NCI.H810	Cisplatin	5.610372
nervous_system	NBsusSR	Cisplatin	0.330543
soft_tissue	MFH.ino	Cisplatin	1.688591
bone	NOS.1	Cisplatin	4.993016
pancreas	PANC.03.27	Cisplatin	3.645003
pancreas	PANC.08.13	Cisplatin	3.11543
pancreas	PANC.10.05	Cisplatin	2.152654
breast	CAMA.1	Cisplatin	1.805367
blood	CTB.1	Cisplatin	1.858073
urogenital_system	Caov.4	Cisplatin	4.878041
nervous_system	M059J	Cisplatin	2.33968
blood	HAL.01	Cisplatin	2.514248
urogenital_system	OMC.1	Cisplatin	2.535496
bone	ES8	Cisplatin	1.299186
bone	ES4	Cisplatin	0.4701
bone	ES6	Cisplatin	3.058829
bone	ES1	Cisplatin	1.518202
bone	EW.7	Cisplatin	1.038708
bone	EW.3	Cisplatin	0.893499
bone	EW.1	Cisplatin	2.137932
bone	EW.18	Cisplatin	3.908725
